videoID;Artist;Location;Date;Title;viewCount
hyVq--qZVEI;Henrik Schwarz;Berlin;2012-12-03;Henrik Schwarz live in the Boiler Room Berlin;1056861
byAbXUeNLgM;Hot Since 82;Warehouse Project;2013-11-05;Hot Since 82 Boiler Room DJ Set at Warehouse Project;980761
EanuiNxcVHk;Frankie Knuckles;undefined;2013-10-03;Frankie Knuckles Boiler Room DJ Set;1009839
GqypBQPSVYc;Mr. Carmack;London;2014-06-10;Mr. Carmack Boiler Room London DJ Set;298213
aBIltCuj8XE;wAFF;Ibiza;2014-08-29;wAFF Boiler Room Ibiza DJ Set;418840
izQfgDyIVdo;Azari & III;Ibiza;2013-08-22;Azari & III Boiler Room Ibiza Villa Takeovers DJ Set;737247
J0tGubH9ZyM;Guy Gerber;Ibiza;2014-07-26;Guy Gerber Boiler Room Ibiza DJ Set;799370
HV-nNEXgsOk;Jamie xx;London;2014-06-26;Jamie xx Boiler Room London x Young Turks DJ Set;2225474
tUzY3zc9vs8;Bonobo;undefined;2013-11-06;Bonobo Boiler Room DJ Set;742266
bk6Xst6euQk;Solomun;Tulum;2015-03-15;Solomun Boiler Room Tulum DJ Set;8654887
WhNd1iSoBt4;Move D B2B Optimo at;Berlin;2013-01-02;Move D B2B Optimo at RBMA x Boiler Room Berlin;280102
RMrWWAY7MJM;Hudson Mohawke;undefined;2013-02-11;Hudson Mohawke 60 min Boiler Room hip-hop set;290771
G1j18BnWx4k;Art Department;Mexico Tulum;2014-01-30;Art Department Boiler Room Mexico / Tulum Take-over;793496
of3dLxEVCgU;J Rocc;London;2014-04-02;J Rocc Boiler Room London DJ Set;243718
nSSjnID4GJU;James Zabiela;undefined;2012-12-07;James Zabiela Boiler Room Mix;887789
Fh_dWEJlZYI;Mark Ronson;undefined;2013-09-08;Mark Ronson Boiler Room DJ Set;270257
-5EQIiabJvk;Kaytranada;Montreal;2013-12-18;Kaytranada Boiler Room Montreal DJ Set;2744991
EjoCY3s-Y50;Move D;Berlin;2012-06-01;Move D Boiler Room Berlin DJ set;272617
Wmxxp0jTwhs;HNNY;Stockholm;2013-12-06;HNNY Boiler Room Stockholm x Red Bull Music Academy DJ Set;294629
kH3qecejtIo;Julio Bashmore;Los Angeles;2013-01-04;Julio Bashmore Boiler Room Los Angeles DJ Set;399941
78wL4FmhuRc;Jamie XX;Miami;2013-04-05;Jamie XX Boiler Room DJ Set at Red Bull Music Academy x Boiler Room in Miami;337056
c35hIK98D7M;Cassius;W Hotel Paris;2012-11-27;Cassius 50 min Boiler Room DJ Set at W Hotel Paris;272330
iwew9TzWY3M;Kerri Chandler;undefined;2012-12-03;Kerri Chandler 70 min Boiler Room Mix;901307
tfRJhmC-G1Y;Masters At Work;London;2014-08-28;Masters At Work Boiler Room London DJ Set;753222
z0vn2AHQhGo;Dubfire;Amsterdam;2012-06-01;Dubfire 60 min Boiler Room Amsterdam DJ set;1766914
X13beDr0fZY;HVOB;Vienna;2015-06-22;HVOB Boiler Room Vienna Live Set;328862
xih8aiacRSk;Nils Frahm;Dimensions;2014-10-09;Nils Frahm Boiler Room x Dimensions Opening Concert Live Set;550162
uHfjsPo5kdM;Bushwacka;Ibiza;2013-09-24;Bushwacka Boiler Room Ibiza Villa Takeovers DJ Set;532407
pMSKnCbUqBs;Dixon b2b Âme;ADE;2012-10-25;Dixon b2b Âme Boiler Room x Innervisions DJ Set at ADE 2012;590813
JU0S0xpWGOw;Cajmere;ADE;2012-12-03;Cajmere 50 min Boiler Room Mix at ADE;252299
IUjWumGIqe8;Nicolas Jaar;NYC Clown Sunset;2013-04-27;Nicolas Jaar Boiler Room NYC DJ Set at Clown & Sunset Takeover;3280701
0HffibenJl8;Mr G;undefined;2012-11-28;Mr G live in the Boiler Room;373721
-0MoCENw8OQ;Kink;London;2012-11-19;Kink Boiler Room London LIVE Show;315138
c2CZ9n3rkXw;Gaiser;Berlin;2012-06-01;Gaiser 40 min Boiler Room Berlin DJ set;265019
MiDIrmu32QU;Luciano;ADE;2013-12-02;Luciano Boiler Room x Bridgesformusic.org DJ Set at ADE;319018
rB_rlsF83u4;Maya Jane Coles;undefined;2013-09-26;Maya Jane Coles Boiler Room DJ Set;1771223
5uBsfHA5LBo;Digitalism;MELT! Festival;2013-08-05;Digitalism Boiler Room DJ Set at MELT! Festival;767315
sDOIxJln8wE;XXYYXX;Los Angeles;2013-03-19;XXYYXX Boiler Room Los Angeles DJ Set;539914
IVohvU3WApo;Dave Clarke;Amsterdam ADE;2014-11-18;Dave Clarke Boiler Room Amsterdam x ADE DJ Set;363604
LXgTp40Y3zo;BREAKBOT;Paris;2013-10-22;BREAKBOT Boiler Room DJ Set at Red Bull Studios Paris;694656
Bj8425Ma6F8;Laurent Garnier;Dekmantel Festival;2013-09-18;Laurent Garnier Boiler Room DJ Set at Dekmantel Festival;2379265
Ei0pg6FdVSo;Mano Le Tough;Berlin;2014-05-14;Mano Le Tough Boiler Room Berlin DJ Set;685234
8CWKC9b0Oko;Disclosure;undefined;2012-06-29;Disclosure 35 min Boiler Room DJ Set;805572
qQaEWVYuyXU;DJ EZ;undefined;2012-12-14;DJ EZ Boiler Room x RBMA DJ Set;1008691
5vHRUsP20dQ;Maceo Plex;Berlin;2014-10-13;Maceo Plex Boiler Room Berlin DJ Set;3994972
DAe-DZVJFJg;Logan Sama, Skepta, Stormzy & The Square;London;2015-01-07;Logan Sama, Skepta, Stormzy & The Square Boiler Room London Live Set;251938
VLiXVvYm4to;MK;Los Angeles;2013-03-07;MK Boiler Room Los Angeles DJ Set;248015
CVUicWyXFow;Brodinski DJ;Berlin;2013-01-23;Brodinski DJ set at House Of Vans x Boiler Room Berlin;499364
Wzv6ObXj_wk;J.E.S.u.S. (Jackmaster, Eats Everything, Skream & Seth Troxler);Ibiza;2014-07-29;J.E.S.u.S. (Jackmaster, Eats Everything, Skream & Seth Troxler) Boiler Room Ibiza DJ Set;488659
ic7P_qWkdE8;Marcel Dettmann;Berlin;2012-10-29;Marcel Dettmann 60 min Boiler Room Berlin DJ Set;444349
62Ql2yzFJZo;Ken Ishii;Berlin;2014-12-16;Ken Ishii Boiler Room Berlin DJ Set;341068
jnGT5slqGpM;DJ Sneak;undefined;2013-05-15;DJ Sneak Boiler Room DJ Set;660761
